x,y,z
-53.1786,117.206,-34.6921
-54.9384,126.783,-67.783
-56.6312,115.633,-61.7411
-53.8845,100.286,-21.0787
-58.0863,127.58,-66.3096
-91.7247,128.347,-63.3416
-65.2977,95.7894,-65.4347
-48.6806,95.4195,-24.0219
-99.7506,102.478,-49.1741
-36.7973,114.372,-60.0912
-38.279,118.129,-96.7367
-60.2459,117.235,-72.7364
-35.0954,93.5094,-30.0309
-92.1886,96.6584,-93.5995
-60.0706,116.028,-62.7002
-54.357,113.53,-62.3058
-37.1469,137.494,-27.7451
-21.7723,142.428,-51.4929
-49.4322,122.268,-67.8243
-45.2012,118.599,-29.7948
-36.8907,137.479,-85.0303
-88.9578,132.9,-56.7315
-106.22,121.101,-68.206
-36.7985,133.326,-110.544
-88.9105,132.919,-31.9394
-32.2516,89.1175,-98.9536
-49.0754,105.296,-39.5763
-21.23,84.0339,-72.19
-79.2783,148.182,-100.895
-72.4868,146.252,-106.013
-13.0223,95.8367,-58.7376
-44.7004,159.486,-39.9958
-49.2444,120.511,-65.6997
-44.8047,87.4944,-30.4067
-21.3551,113.394,-31.9733
-26.506,102.507,-103.671
-20.8646,97.7624,-88.3768
-21.3012,108.666,-96.5325
-47.075,129.4,-82.6986
-61.958,78.4966,-76.729
-60.742,98.7359,-21.912
-21.0739,153.269,-57.1104
-35.3874,129.695,-102.353
-54.533,120.199,-61.7106
-56.4383,168.97,-72.2506
-73.6965,76.5603,-48.1047
-22.7618,143.086,-38.9039
-37.7137,140.872,-80.4446
-53.7657,122.571,-70.3081
-73.8751,165.965,-64.6234
-62.4018,114.751,-69.7834
-98.2072,137.816,-68.8467
-76.595,131.807,-23.3423
-27.9193,156.886,-50.5703
-48.4657,118.183,-115.77
-33.1318,117.39,-57.6195
-45.1564,70.7723,-62.7954
-43.3831,106.411,-35.7004
-78.254,137.071,-108.438
-43.4337,159.265,-94.2871
-50.5233,119.061,-69.6781
-58.3944,111.125,-65.4719
-95.6936,135.523,-93.2741
-69.3209,94.1105,-26.07
-92.5781,147.297,-87.1118
-100.14,135.947,-49.9945
-85.6523,113.75,-69.372
-51.3594,114.029,-68.2934
-80.3684,100.374,-72.3264
-75.2646,82.1039,-39.7411
-51.5861,117.106,-62.7565
-68.653,73.6503,-83.3534
-101.425,121.767,-78.9262
-37.7717,146.86,-29.8847
-85.2029,128.052,-107.008
-62.7493,116.903,-71.7458
-73.7066,146.48,-29.1127
-63.9062,117.081,-65.6356
-36.8076,133.001,-89.4106
-54.3091,126.907,-64.783
-54.8717,125.363,-64.7255
-91.0765,121.46,-67.4876
-61.7707,123.341,-69.7373
-50.1045,151.888,-104.575
-65.8005,117.453,-42.399
-14.4622,146.255,-63.1144
-96.512,127.031,-38.5944
-17.2971,124.62,-36.493
-49.9859,83.429,-33.0289
-59.5247,162.146,-92.701
-20.0795,129.64,-100.083
-87.4305,110.597,-71.2036
-68.9943,103.667,-59.7183
-66.0679,101.682,-54.8366
-42.9651,132.643,-77.4949
-86.6402,146.414,-48.9595
-11.5181,126.248,-46.2089
-72.175,88.3698,-74.7062
-14.3299,137.464,-87.3224
-39.9981,157.693,-94.7392
-77.4934,111.869,-56.8536
-22.1036,101.909,-99.254
-82.335,96.3457,-79.7475
-87.0903,118.909,-71.6614
-64.4542,123.699,-64.7797
-53.3633,122.461,-70.8051
-59.3078,114.976,-72.7236
-63.8681,87.1113,-68.9427
-59.7245,113.279,-66.7709
-39.977,125.039,-94.927
-23.0808,87.4642,-86.7368
-99.1364,125.156,-42.2309
-91.9081,84.3463,-70.1236
-49.4675,95.9441,-49.3758
-56.5799,72.3019,-78.8305
-62.6679,120.948,-63.1411
-27.8649,131.624,-91.433
-56.2391,118.775,-61.7406
-52.5473,117.501,-72.7016
-50.5833,131.569,-78.0115
-52.0114,115.309,-69.9129
-87.0356,144.112,-36.6733
-81.6852,87.6345,-96.3694
-58.0085,84.877,-65.7243
-89.3366,156.742,-68.4622
-54.6019,116.78,-72.7353
-76.4765,105.23,-65.7115
-51.6583,119.438,-70.6934
-54.7986,124.465,-61.754
-89.3785,108.823,-74.9091
-96.032,91.0073,-78.1438
-56.3153,100.777,-49.7041
-37.2482,112.747,-111.287
-37.1136,73.2649,-70.2925
-60.2501,125.55,-69.4433
-62.2141,124.169,-69.409
-51.7304,126.637,-64.7728
-47.8043,109.159,-19.0423
-69.7449,97.0598,-65.717
-101.383,98.9859,-60.0416
-73.2681,104.556,-64.3677
-105.657,111.456,-66.7549
-56.6193,142.934,-30.6898
-84.8528,102.804,-29.687
-39.2301,79.681,-57.7828
-57.6491,120.6,-61.7421
-89.5574,151.883,-85.3409
-33.8439,118.342,-111.868
-57.7959,121.899,-72.7172
-56.9437,123.965,-69.7371
-62.0406,117.566,-67.1816
-63.6556,122.189,-66.1433
-26.9373,151.664,-91.3896
-80.8275,78.0942,-53.1005
-52.2515,119.272,-61.7762
-51.2304,117.652,-70.1176
-57.8886,117.566,-72.7348
-73.936,139.4,-25.0703
-51.0738,116.673,-65.022
-79.8127,108.974,-24.3558
-53.9555,110.66,-115.804
-36.6652,153.63,-85.592
-25.5889,86.9224,-89.7507
-52.2048,124.309,-61.8178
-80.7504,95.7535,-103.885
-77.3983,151.912,-40.7804
-15.5247,90.5677,-64.4543
-38.2414,110.041,-32.663
-78.598,74.8665,-72.4581
-89.4185,153.562,-52.3129
-44.9219,153.881,-33.0574
-84.9844,156.844,-51.1623
-71.1476,88.1481,-103.37
-52.8815,112.126,-36.667
-41.8104,150.08,-103.77
-70.7711,81.4249,-80.7414
-85.3351,101.69,-103.851
-63.359,116.981,-63.7406
-56.1563,126.295,-69.2128
-57.8684,112.509,-66.8051
-65.777,90.2004,-65.7994
-10.916,98.4137,-66.1916
-60.0268,122.428,-72.5601
-10.5566,134.485,-54.0342
-75.5104,123.637,-49.2514
-40.2865,135.574,-76.9431
-55.4558,113.519,-38.2601
-54.7811,113.783,-71.4076
-46.7108,146.542,-26.4332
-41.01,123.538,-112.584
-40.6399,121.128,-19.8216
-17.4025,90.5072,-54.738
-41.2216,123.403,-90.5231
-35.5341,142.246,-86.216
-58.6879,114.706,-62.7255
-23.9964,156.929,-72.8706
-91.3955,115.959,-31.8499
-60.6511,115.548,-68.2832
-89.0373,138.243,-54.5974
-72.054,77.4726,-87.929
-60.6978,112.834,-41.6517
-36.4493,164.165,-57.858
-55.9424,117.958,-72.7409
-79.5026,113.615,-111.123
-75.9974,97.5876,-70.756
-63.5464,157.322,-98.8222
-25.5191,123.37,-99.5562
-46.926,121.25,-29.6849
-15.6704,104.105,-86.7764
-48.1487,164.463,-87.0006
-45.283,105.7,-114.021
-93.4544,109.147,-35.383
-51.5143,166.331,-51.1279
-103.294,131.986,-78.3327
-63.3687,105.863,-114.842
-44.5036,131.776,-20.3052
-66.5836,79.6502,-95.9003
-80.2727,88.0154,-36.5314
-88.2019,83.8718,-82.2983
-40.7355,129.389,-106.537
-35.4637,158.9,-44.9853
-48.0879,76.0502,-43.5484
-45.8139,135.864,-67.986
-21.2353,115.169,-86.7224
-41.6716,96.5939,-25.1737
-96.0739,102.409,-86.3276
-72.9669,128.061,-44.6992
-24.1273,85.2012,-51.5299
-32.0391,82.0668,-90.128
-52.6873,124.237,-68.7619
-6.69388,117.058,-61.7039
-37.1878,137.746,-81.9772
-51.0255,140.782,-28.7099
-63.6348,71.2116,-78.6975
-62.9266,114.932,-65.9557
-95.5689,96.6734,-46.1547
-57.3065,134.679,-114.745
-43.7827,131.702,-70.7858
-12.7157,114.73,-91.2389
-33.1651,91.4138,-89.767
-63.6627,119.093,-63.7191
-66.1394,137.252,-76.395
-51.3684,168.777,-72.0525
-66.7734,127.973,-41.9392
-50.1755,132.709,-74.5943
-97.6996,109.065,-41.1868
-69.8153,106.745,-20.7799
-16.5773,99.1923,-44.5322
-44.8226,77.3667,-91.8794
-23.1675,133.493,-32.6549
-41.8251,134.857,-75.7023
-24.31,157.613,-65.8482
-37.6227,120.4,-96.7081
-38.7661,87.1433,-33.2151
-81.8711,141.835,-103.772
-96.954,146.665,-76.8838
-64.8362,162.534,-43.7499
-8.59363,113.589,-81.013
-57.3207,124.123,-34.11
-62.634,126.299,-34.7651
-55.1455,120.755,-72.7315
-40.5906,75.4241,-49.2442
-42.2311,130.339,-83.7304
-72.6034,79.7953,-88.6066
-57.8332,94.5595,-110.661
-54.2032,165.802,-66.8287
-84.2913,120.431,-59.7092
-48.3973,118.48,-66.1507
-48.4771,127.979,-78.713
-97.4196,119.209,-95.5886
-39.1559,134.784,-86.8922
-66.3095,76.9377,-83.7286
-38.8528,125.379,-68.614
-79.2106,138.59,-46.6576
-55.6344,117.006,-61.7292
-59.8691,112.85,-71.0544
-41.1976,93.3175,-107.195
-68.9743,131.082,-114.078
-53.0992,80.2113,-36.2292
-61.4414,81.772,-72.9551
-50.623,114.358,-66.3471
-41.8065,88.2793,-103.646
-40.0737,131.078,-78.4598
-87.1262,92.1533,-95.6687
-9.90749,137.363,-63.3958
-30.5907,112.65,-29.7761
-50.705,74.3559,-88.368
-32.3675,124.897,-99.7891
-104.737,131.211,-69.5855
-25.1846,129.974,-93.5973
-57.382,96.0679,-54.4616
-36.0252,135.641,-81.0054
-30.9867,138.358,-85.4943
-48.0349,131.246,-81.7233
-40.9412,131.255,-73.6043
-34.7458,130.186,-85.3754
-52.7084,131.818,-75.1376
-41.8638,128.799,-69.6779
-39.1698,128.833,-79.2149
-30.1466,132.908,-90.7001
-14.4061,110.416,-93.0083
-38.1281,126.798,-83.7496
-40.809,131.264,-76.6268
-41.1359,125.008,-73.4849
-43.6634,125.793,-76.5843
-40.0977,124.225,-77.6892
-49.1544,135.513,-72.9653
-44.9204,126.871,-78.6543
-42.3945,121.535,-70.318
-57.5457,132.868,-75.8423
-48.5486,129.609,-83.9608
-28.592,137.15,-77.4098
-49.2937,130.187,-79.3664
-34.5063,131.085,-80.6034
-44.362,125.497,-73.5922
-35.0323,131.775,-86.7984
-39.3351,135.952,-78.6947
-40.2153,140.525,-79.6712
-39.3992,134.699,-84.4051
-41.1712,125.634,-82.5559
-18.7809,147.6,-84.1919
-42.2625,132.994,-80.1997
-36.6464,130.527,-79.7296
-37.9362,124.246,-76.8064
-45.1484,135.097,-70.8516
-37.0858,127.056,-80.5329
-58.5075,136.25,-73.1795
-46.2187,131.769,-114.552
-49.7847,125.46,-78.7809
-49.311,132.361,-76.7591
-44.6429,133.45,-77.1263
-51.6479,134.338,-72.6589
-46.5166,131.296,-78.5798
-39.8742,134.811,-75.9045
-45.0201,126.577,-74.8888
-34.7643,134.694,-79.0914
-36.2316,136.518,-83.7338
-57.8193,135.979,-75.6121
-39.7902,136.01,-85.403
-22.6873,152.627,-51.3526
-39.9126,138.685,-80.5164
-37.6335,133.273,-85.7919
-39.9252,133.034,-82.1823
-47.8855,129.656,-78.4022
-40.5262,141.617,-81.4293
-46.2143,126.505,-77.4233
-63.2071,136.199,-75.6417
-37.2928,130.682,-70.6634
-48.2941,129.577,-81.7305
-37.5419,139.641,-81.4982
-45.3112,129.483,-79.6762
-43.2691,132.922,-78.8615
-45.0087,125.904,-76.0822
-48.0429,132.132,-78.7713
-47.7471,136.136,-69.9382
-45.5617,136.96,-68.809
-37.4759,136.698,-86.735
-49.3143,133.011,-71.7795
-45.8801,136.852,-73.6788
-52.8716,132.499,-73.8523
-50.1259,131.567,-76.8998
-42.6329,133.579,-73.6367
-35.642,132.122,-78.7369
-36.6068,130.259,-81.2484
-40.7685,131.976,-70.1315
-40.843,137.286,-82.1413
-41.5431,136.811,-79.3758
-35.3738,125.441,-73.2135
-38.9056,134.238,-83.5901
-34.9784,131.753,-70.71
-83.4509,161.127,-65.0205
-36.8173,131.209,-85.05
-47.3116,127.245,-78.3054
-49.9486,129.21,-78.3116
-51.6251,131.855,-74.2477
-69.7075,152.758,-37.5954
-57.5222,133.855,-76.7052
-39.9352,131.856,-75.2193
-48.5313,129.582,-79.4429
-40.9212,139.544,-81.5551
-59.353,134.111,-74.39
-49.1845,132.207,-73.2482
-45.2655,127.606,-80.0969
-45.0585,136.576,-70.7689
-51.1048,133.337,-71.962
-78.9114,163.651,-63.6292
-46.8163,134.138,-71.7267
-39.4314,131.776,-76.9623
-35.6411,133.882,-77.943
-83.4248,133.383,-51.5173
-55.8879,133.815,-75.3623
-47.8782,128.637,-78.7803
-39.2555,131.015,-80.1242
-101.597,98.4324,-70.1807
-34.6096,126.475,-73.9583
-34.6775,129.987,-72.655
-39.8664,137.282,-85.255
-44.9542,133.407,-78.701
-46.5316,136.427,-70.3272
-38.6683,131.465,-77.9902
