x,y,z
-52.1319,114.913,-63.7059
-48.9414,119.269,-68.0819
-60.7641,120.389,-72.7288
-63.6274,121.934,-69.5223
-51.4465,121.292,-66.0474
-63.3158,117.091,-68.8106
-52.046,125.799,-67.5754
-52.3562,121.308,-61.9604
-62.8317,118.329,-69.4038
-51.2713,118.85,-72.0912
-57.8034,120.315,-67.8929
-55.2295,118.746,-71.3792
-53.6916,121.192,-69.2091
-58.8243,122.993,-70.7351
-56.9014,119.5,-72.7448
-54.8615,124.467,-69.695
-60.0866,126.813,-67.8794
-58.2697,117.519,-69.662
-56.1583,119.145,-67.3144
-53.0471,120.292,-68.5799
-49.8975,123.064,-65.2432
-58.517,120.968,-67.8144
-51.6915,121.465,-64.6725
-55.4339,119.967,-70.2886
-56.6163,119.948,-66.2159
-54.2693,125.978,-66.5084
-53.6965,113.168,-69.2408
-53.2002,124.271,-64.222
-56.0572,122.724,-71.4106
-57.7861,120.173,-67.1505
-61.8944,114.737,-72.3481
-55.0846,117.505,-64.4212
-60.0784,122.093,-67.1019
-56.9153,117.986,-67.8983
-54.0331,122.456,-67.2371
-50.9409,119.128,-64.6823
-50.4126,116.691,-69.4973
-51.9909,119.499,-68.9494
-60.2834,121.859,-68.0194
-49.2857,115.95,-66.3655
-56.2374,117.953,-65.9134
-55.5566,121.317,-67.9753
-60.6162,120.573,-65.8476
-55.8532,117.377,-65.0343
-54.3129,117.711,-69.655
-57.0294,118.804,-63.9908
-55.7953,111.322,-66.2491
-54.1722,114.89,-66.4451
-61.4923,117.109,-69.1022
-52.1911,117.597,-67.1176
-60.3035,127.18,-63.7572
-53.3811,118.853,-67.563
-54.8178,120.086,-66.9166
-58.514,124.265,-61.7275
-57.0299,123.215,-67.4719
-59.7728,122.651,-64.6808
-59.7266,115.666,-64.8409
-59.8535,121.295,-61.7211
-61.1468,115.088,-66.8718
-61.1377,122.1,-70.5919
-55.8187,122.813,-64.5798
-56.2087,116.289,-63.2188
-56.6015,118.924,-66.7735
-54.5127,120.75,-66.4873
-56.0403,120.434,-70.4949
-63.2307,117.4,-64.8821
-56.1541,117.939,-70.111
-62.0155,118.382,-62.4763
-60.4983,119.098,-69.5655
-63.0786,119.597,-67.5926
-56.0695,119.888,-67.5296
-55.6273,124.324,-67.1284
-52.8791,118.281,-65.181
-54.9384,126.783,-67.783
-56.6312,115.633,-61.7411
-56.3055,122.581,-68.0644
-57.991,116.822,-66.9804
-58.0863,127.58,-66.3096
-60.2459,117.235,-72.7364
-55.606,114.767,-64.0162
-56.1406,119.838,-70.2763
-60.0706,116.028,-62.7002
-54.357,113.53,-62.3058
-49.4322,122.268,-67.8243
-59.6233,118.06,-64.0917
-49.2444,120.511,-65.6997
-53.9775,117.017,-67.8069
-57.4394,115.722,-69.0707
-56.9272,121.725,-69.8051
-54.533,120.199,-61.7106
-55.4531,117.628,-67.4883
-55.4486,121.654,-64.4693
-53.7657,122.571,-70.3081
-62.4018,114.751,-69.7834
-59.1654,115.656,-69.1122
-57.1189,118.573,-64.729
-50.5233,119.061,-69.6781
-59.1351,118.755,-68.3347
-58.3944,111.125,-65.4719
-56.6411,122.754,-68.7952
-60.1438,125.102,-66.5047
-51.3594,114.029,-68.2934
-51.5861,117.106,-62.7565
-62.7493,116.903,-71.7458
-63.9062,117.081,-65.6356
-54.3091,126.907,-64.783
-54.8717,125.363,-64.7255
-61.7707,123.341,-69.7373
-54.9752,120.791,-69.5189
-56.6494,119.479,-64.4907
-55.2936,119.628,-66.0117
-64.4542,123.699,-64.7797
-53.2264,119.582,-71.0926
-53.3633,122.461,-70.8051
-59.3078,114.976,-72.7236
-56.0076,118.587,-67.891
-59.7245,113.279,-66.7709
-55.3371,121.514,-66.9086
-54.9708,123.224,-68.3467
-57.8991,122.093,-63.3831
-60.5853,120.525,-64.1469
-62.6679,120.948,-63.1411
-56.2391,118.775,-61.7406
-52.5473,117.501,-72.7016
-52.0114,115.309,-69.9129
-55.499,119.224,-64.3803
-55.4185,118.372,-68.8717
-59.3945,116.705,-71.9231
-54.6019,116.78,-72.7353
-51.6583,119.438,-70.6934
-54.7986,124.465,-61.754
-60.0289,115.878,-70.372
-53.941,120.15,-67.6147
-60.2501,125.55,-69.4433
-62.2141,124.169,-69.409
-51.7304,126.637,-64.7728
-57.6491,120.6,-61.7421
-55.7514,119.369,-68.0595
-56.66,115.877,-65.1016
-56.3718,119.164,-68.7218
-57.7959,121.899,-72.7172
-56.9437,123.965,-69.7371
-62.0406,117.566,-67.1816
-63.6556,122.189,-66.1433
-52.2515,119.272,-61.7762
-51.2304,117.652,-70.1176
-56.9324,116.98,-66.2307
-57.8886,117.566,-72.7348
-51.0738,116.673,-65.022
-53.155,123.981,-67.9839
-52.2048,124.309,-61.8178
-51.6064,122.084,-67.0176
-55.6263,120.96,-63.351
-56.2505,117.493,-68.2037
-54.6642,119.742,-64.5225
-63.359,116.981,-63.7406
-56.1563,126.295,-69.2128
-57.8684,112.509,-66.8051
-54.2798,117.654,-71.2901
-60.0268,122.428,-72.5601
-58.6623,119.68,-66.8008
-53.8802,117.109,-65.9177
