x,y,z
-60.2351,113.645,-57.0399
-47.7789,128.67,-60.7701
-57.068,77.6829,-74.3739
-59.7133,105.975,-48.348
-7.95433,131.711,-68.2903
-98.845,140.719,-82.3277
-35.3052,104.602,-90.3239
-66.4814,99.5944,-60.9662
-81.5455,121.205,-77.1005
-42.5399,116.677,-64.4352
-59.5568,113.48,-79.597
-33.6558,128.811,-54.8338
-72.3491,109.837,-58.7583
-65.8457,142.721,-64.8024
-65.52,132.246,-62.0716
-46.6858,120.049,-57.2266
-26.993,145.862,-86.1492
-55.7953,111.322,-66.2491
-51.1947,88.972,-74.9142
-62.6487,127.85,-116.034
-60.3035,127.18,-63.7572
-49.4909,134.476,-76.4049
-89.6057,155.168,-57.139
-51.6974,92.3207,-52.1804
-67.6842,108.431,-60.8991
-79.7035,116.922,-100.166
-62.6626,117.581,-58.771
-50.2611,143.229,-64.9023
-52.8977,115.921,-75.7771
-53.7985,126.894,-58.7332
-9.09826,105.412,-75.7609
-57.8125,108.818,-53.6136
-58.514,124.265,-61.7275
-61.9137,150.815,-105.569
-69.3327,132.559,-39.6789
-37.8214,108.754,-62.9369
-64.3618,114.859,-56.3329
-57.7644,124.991,-49.6153
-69.7121,156.507,-36.7941
-59.8535,121.295,-61.7211
-62.5236,125.984,-73.8193
-94.9138,134.752,-76.7312
-68.4325,92.3171,-69.7216
-48.5342,112.201,-76.5553
-63.3217,145.984,-93.736
-38.7733,111.184,-74.6012
-67.7995,123.953,-48.5826
-51.7072,114.615,-56.0109
-38.4253,105.518,-48.7344
-61.1468,115.088,-66.8718
-71.8005,120.96,-84.1553
-29.3048,98.1662,-88.6593
-63.0407,166.066,-51.0946
-85.186,140.122,-50.649
-60.41,131.276,-32.7547
-42.177,104.064,-71.4419
-48.9405,114.342,-72.8744
-31.5432,116.782,-63.8199
-51.5438,135.865,-83.1446
-67.3066,79.7839,-86.4059
-23.3174,102.01,-45.6713
-93.3986,140.484,-93.0908
-37.976,122.236,-75.7142
-34.0883,136.818,-66.2561
-61.1377,122.1,-70.5919
-41.4783,166.802,-62.6218
-72.1375,104.92,-71.5502
-40.8623,133.319,-92.8825
-36.1851,130.318,-83.4284
-20.8314,119.047,-37.3396
-85.2441,149.882,-94.1504
-42.7333,95.002,-44.7426
-15.2876,96.6886,-84.6678
-56.6577,125.164,-50.8302
-67.1637,109.766,-74.0572
-56.6125,128.41,-59.846
-65.0454,168.105,-61.4515
-68.1029,118.969,-73.2546
-53.0922,130.315,-63.3987
-27.1739,128.392,-39.9276
-68.5769,125.015,-66.3684
-38.4936,96.9849,-58.614
-14.8249,141.819,-64.9053
-40.2193,114.336,-108.43
-80.4865,120.525,-55.5216
-90.8702,118.356,-86.536
-33.207,121.431,-51.3901
-20.7797,108.049,-62.0928
-19.8602,101.871,-37.7898
-54.7952,90.9933,-84.9768
-55.0832,72.412,-84.4972
-57.7108,102.635,-62.0388
-34.9323,145.074,-104.285
-71.7102,126.804,-102.941
-67.0445,125.003,-36.6938
-46.9755,117.675,-82.8104
-56.6598,123.582,-71.3372
-56.0217,118.595,-57.0684
-67.5608,162.53,-89.5039
-46.8768,134.381,-47.5228
-49.185,108.599,-69.4848
-47.8779,122.276,-75.0577
-64.1967,120.814,-55.0336
-51.9493,86.735,-58.7174
-54.1968,111.164,-76.3111
-51.2403,115.009,-62.8637
-23.5978,110.027,-45.8754
-75.8955,139.47,-55.9524
-65.866,111.753,-68.7288
-60.7488,96.4943,-59.5105
-61.8212,101.855,-103.041
-32.3185,162.571,-74.1556
-53.596,77.2948,-94.1711
-61.3675,117.36,-53.2612
-76.0009,126.031,-77.5096
-62.6532,117.926,-77.679
-29.4565,140.75,-83.5982
-7.09233,111.553,-71.0088
-43.7296,120.998,-66.3805
-62.0155,118.382,-62.4763
-37.178,136.601,-38.1908
-47.2733,116.07,-66.8507
-67.3392,126.154,-94.1372
-63.0786,119.597,-67.5926
-52.0845,134.063,-30.7233
-65.2068,110.458,-85.356
-50.1933,91.5435,-108.335
-26.4277,125.2,-62.5928
-82.5367,134.869,-91.3527
-36.1737,134.504,-69.3484
-49.2661,110.229,-55.1562
-77.688,113.521,-56.9549
-16.9951,118.416,-58.978
-48.6653,138.016,-66.0648
-66.0786,106.671,-51.1544
-37.2786,128.733,-74.663
-69.4363,140.865,-61.1307
-69.2247,138.817,-87.2772
